dataset,algorithm,k,g,p,Run_Time,KG_Time,Main_Time,Ng_Time,N^g_Count,num_kg_node,num_kg_edge,num_remain_node,num_remain_edge
Aminer,naive,7,6,0.6,1059.0609,1045.8334,12.3941,3.0746,45081.0,23111.0,17120546.0,12167.0,14656.0
Aminer,naive,7,6,0.8,1044.4895,1033.0196,10.7081,1.1231,49776.0,23111.0,17120546.0,2841.0,2946.0
Aminer,naive,7,6,1.0,1095.3488,1083.9584,10.572,0.1421,46274.0,23111.0,17120546.0,306.0,495.0
Aminer,naive,7,7,0.0,1044.5306,1040.6769,3.0683,0.0,0.0,17009.0,17120546.0,17009.0,17120546.0
Aminer,naive,7,7,0.2,1098.899,1087.8458,10.2311,1.5095,11579.0,17009.0,17120546.0,16742.0,122414.0
Aminer,naive,7,7,0.4,1059.5685,1047.4468,11.3087,2.4308,24297.0,17009.0,17120546.0,13752.0,37312.0
Aminer,naive,7,7,0.6,1057.616,1045.2972,11.481,2.306,33422.0,17009.0,17120546.0,8256.0,10268.0
Aminer,naive,7,7,0.8,1051.1905,1039.9026,10.4897,0.8116,36143.0,17009.0,17120546.0,1857.0,2214.0
Aminer,naive,7,7,1.0,1037.4745,1027.1676,9.5389,0.0991,33973.0,17009.0,17120546.0,205.0,407.0
Aminer,naive,8,8,0.8,1017.7189,1007.3611,9.603,0.5121,24544.0,11316.0,17120546.0,865.0,1306.0
Aminer,naive,9,9,0.8,1036.0936,1025.6293,9.6719,0.381,17899.0,8282.0,17120546.0,595.0,746.0
Aminer,naive,10,10,0.8,1017.4668,1007.4718,9.2305,0.2732,13307.0,6303.0,17120546.0,402.0,558.0
Aminer,ASAP,3,3,0.0,1026.9871,1022.0024,3.149,0.0,0.0,808177.0,17120546.0,808177.0,17120546.0
Aminer,ASAP,3,3,0.2,1047.2845,1034.9967,10.426,1.9866,44071.0,808177.0,17120546.0,806166.0,5083240.0
Aminer,ASAP,3,3,0.4,1068.4559,1038.6519,27.9326,12.1574,428223.0,808177.0,17120546.0,756495.0,2973934.0
Aminer,ASAP,3,3,0.6,1085.778,1042.1269,41.7707,16.6785,868718.0,808177.0,17120546.0,541198.0,1221553.0
Aminer,ASAP,3,3,0.8,1084.5823,1040.6954,42.011,11.5547,1015844.0,808177.0,17120546.0,251449.0,332486.0
Aminer,ASAP,3,3,1.0,1056.0774,1018.6171,35.6006,4.6621,901570.0,808177.0,17120546.0,87829.0,110703.0
Aminer,ASAP,3,4,0.0,1057.0264,1052.0708,3.1753,0.0,0.0,379270.0,17120546.0,379270.0,17120546.0
Aminer,ASAP,3,4,0.2,1030.0199,1017.1767,11.1487,2.2085,41576.0,379270.0,17120546.0,377020.0,3135230.0
Aminer,ASAP,3,4,0.4,1082.8293,1057.6468,23.4636,8.817,268610.0,379270.0,17120546.0,336202.0,1581858.0
Aminer,ASAP,3,4,0.6,1133.8399,1098.6503,33.2884,10.7801,454938.0,379270.0,17120546.0,202376.0,517316.0
Aminer,ASAP,3,4,0.8,1048.4292,1019.661,27.1102,5.465,460425.0,379270.0,17120546.0,76664.0,120221.0
Aminer,ASAP,3,4,1.0,1050.1042,1024.0825,24.3026,1.9613,404653.0,379270.0,17120546.0,23645.0,38520.0
Aminer,ASAP,3,5,0.0,1037.7607,1033.0468,3.0639,0.0,0.0,211702.0,17120546.0,211702.0,17120546.0
Aminer,ASAP,3,5,0.2,1050.0545,1037.2919,11.086,2.128,34286.0,211702.0,17120546.0,209673.0,2057765.0
Aminer,ASAP,3,5,0.4,1057.5098,1034.8516,20.8279,6.9973,174884.0,211702.0,17120546.0,177682.0,923779.0
